month,eur_usd
2023-09,1.068380952381
2023-10,1.0562545454545
2023-11,1.0808227272727
2023-12,1.0903052631579
2024-01,1.0905136363636
2024-02,1.0794714285714
2024-03,1.08722
2024-04,1.0727761904762
2024-05,1.0812227272727
2024-06,1.0759
2024-07,1.0844086956522
2024-08,1.1012181818182
2024-09,1.1106
2024-10,1.0904347826087
2024-11,1.0630142857143
2024-12,1.047875
2025-01,1.0353727272727
2025-02,1.04125
2025-03,1.080680952381
2025-04,1.121395
2025-05,1.1278047619047618
2025-06,1.1516190476190478
2025-07,1.1676869565217392
2025-08,1.1631428571428577
2025-09,1.1732227272727274
2025-10,1.1630434782608696
2025-11,1.15602
2025-12,1.1708714285714283
2026-01,1.1738238095238096
2026-02,1.182395
2026-03,1.155831818181818
2026-04,1.17064
2026-05,1.16732
2026-06,1.1518
2026-07,1.1417478260869562
2026-08,1.159309523809524
