month,eur_usd,mom_pct,rolling_3m,big_move
2023-09,1.068380952381,,,False
2023-10,1.0562545454545,-1.14,,False
2023-11,1.0808227272727,2.33,1.0685,True
2023-12,1.0903052631579,0.88,1.0758,False
2024-01,1.0905136363636,0.02,1.0872,False
2024-02,1.0794714285714,-1.01,1.0868,False
2024-03,1.08722,0.72,1.0857,False
2024-04,1.0727761904762,-1.33,1.0798,False
2024-05,1.0812227272727,0.79,1.0804,False
2024-06,1.0759,-0.49,1.0766,False
2024-07,1.0844086956522,0.79,1.0805,False
2024-08,1.1012181818182,1.55,1.0872,False
2024-09,1.1106,0.85,1.0987,False
2024-10,1.0904347826087,-1.82,1.1008,False
2024-11,1.0630142857143,-2.51,1.088,True
2024-12,1.047875,-1.42,1.0671,False
2025-01,1.0353727272727,-1.19,1.0488,False
2025-02,1.04125,0.57,1.0415,False
2025-03,1.080680952381,3.79,1.0524,True
2025-04,1.121395,3.77,1.0811,True
2025-05,1.1278047619047618,0.57,1.11,False
2025-06,1.1516190476190478,2.11,1.1336,True
2025-07,1.1676869565217392,1.4,1.149,False
2025-08,1.1631428571428577,-0.39,1.1608,False
2025-09,1.1732227272727274,0.87,1.168,False
2025-10,1.1630434782608696,-0.87,1.1665,False
2025-11,1.15602,-0.6,1.1641,False
2025-12,1.1708714285714283,1.28,1.1633,False
2026-01,1.1738238095238096,0.25,1.1669,False
2026-02,1.182395,0.73,1.1757,False
2026-03,1.155831818181818,-2.25,1.1707,True
2026-04,1.17064,1.28,1.1696,False
2026-05,1.16732,-0.28,1.1646,False
2026-06,1.1518,-1.33,1.1633,False
2026-07,1.1417478260869562,-0.87,1.1536,False
2026-08,1.159309523809524,1.54,1.151,False
